Combo,Metric,Model 1,Model 2,Unique M1,Unique M2,Intersection,Total Union Potential,RRF Score,RRF Gain vs Better Single,RRF Coverage of Unique
results_rrf_clip_image_coco_faiss_flava_text_coco_faiss,R1,clip_image,flava_text,576,947,1307,2830,2287,33,0.5456336178594878
results_rrf_clip_image_coco_faiss_flava_text_coco_faiss,R5,clip_image,flava_text,582,849,2537,3968,3742,356,0.7833682739343116
results_rrf_clip_image_coco_faiss_flava_text_coco_faiss,R10,clip_image,flava_text,489,734,3130,4353,4101,237,0.7939493049877351
results_rrf_clip_image_coco_faiss_uniir_joint-image-text_coco_faiss,R1,clip_image,uniir_joint-image-text,308,1192,1575,3075,2684,-83,0.668
results_rrf_clip_image_coco_faiss_uniir_joint-image-text_coco_faiss,R5,clip_image,uniir_joint-image-text,300,977,2819,4096,3973,177,0.8300704776820673
results_rrf_clip_image_coco_faiss_uniir_joint-image-text_coco_faiss,R10,clip_image,uniir_joint-image-text,222,795,3397,4414,4265,73,0.8534906588003933
results_rrf_clip_image_coco_faiss_uniir_text_coco_faiss,R1,clip_image,uniir_text,547,914,1336,2797,2336,86,0.5722108145106092
results_rrf_clip_image_coco_faiss_uniir_text_coco_faiss,R5,clip_image,uniir_text,537,824,2582,3943,3704,298,0.7641440117560617
results_rrf_clip_image_coco_faiss_uniir_text_coco_faiss,R10,clip_image,uniir_text,490,705,3129,4324,4075,241,0.7907949790794979
results_rrf_clip_text_coco_faiss_flava_image_coco_faiss,R1,clip_text,flava_image,759,779,1184,2722,2147,184,0.5546163849154746
results_rrf_clip_text_coco_faiss_flava_image_coco_faiss,R5,clip_text,flava_image,482,988,2504,3974,3592,100,0.6925170068027211
results_rrf_clip_text_coco_faiss_flava_image_coco_faiss,R10,clip_text,flava_image,359,900,3099,4358,4097,98,0.7926926131850676
results_rrf_clip_text_coco_faiss_uniir_image_coco_faiss,R1,clip_text,uniir_image,516,1114,1427,3057,2134,-407,0.4343558282208589
results_rrf_clip_text_coco_faiss_uniir_image_coco_faiss,R5,clip_text,uniir_image,316,1196,2670,4182,3780,-86,0.7023809523809523
