Combo,Metric,Model 1,Model 2,Unique M1,Unique M2,Intersection,Total Union Potential,RRF Score,RRF Gain vs Better Single,RRF Coverage of Unique
results_rrf_clip_image_flickr_faiss_flava_text_flickr_faiss,R1,clip_image,flava_text,142,175,429,746,511,-93,0.4574132492113564
results_rrf_clip_image_flickr_faiss_flava_text_flickr_faiss,R5,clip_image,flava_text,128,79,715,922,825,-18,0.6038647342995169
results_rrf_clip_image_flickr_faiss_flava_text_flickr_faiss,R10,clip_image,flava_text,103,52,794,949,906,9,0.6645161290322581
results_rrf_clip_image_flickr_faiss_uniir_joint-image-text_flickr_faiss,R1,clip_image,uniir_joint-image-text,72,233,499,804,716,-16,0.6885245901639344
results_rrf_clip_image_flickr_faiss_uniir_joint-image-text_flickr_faiss,R5,clip_image,uniir_joint-image-text,48,94,795,937,912,23,0.795774647887324
results_rrf_clip_image_flickr_faiss_uniir_joint-image-text_flickr_faiss,R10,clip_image,uniir_joint-image-text,33,65,864,962,955,26,0.8775510204081632
results_rrf_clip_image_flickr_faiss_uniir_text_flickr_faiss,R1,clip_image,uniir_text,134,184,437,755,593,-28,0.5440251572327044
results_rrf_clip_image_flickr_faiss_uniir_text_flickr_faiss,R5,clip_image,uniir_text,96,83,747,926,870,27,0.6536312849162011
results_rrf_clip_image_flickr_faiss_uniir_text_flickr_faiss,R10,clip_image,uniir_text,65,55,832,952,933,36,0.725
results_rrf_clip_text_flickr_faiss_flava_image_flickr_faiss,R1,clip_text,flava_image,188,182,354,724,502,-40,0.4243243243243243
results_rrf_clip_text_flickr_faiss_flava_image_flickr_faiss,R5,clip_text,flava_image,92,163,655,910,807,-11,0.5843137254901961
results_rrf_clip_text_flickr_faiss_flava_image_flickr_faiss,R10,clip_text,flava_image,63,125,753,941,889,11,0.6648936170212766
results_rrf_clip_text_flickr_faiss_uniir_image_flickr_faiss,R1,clip_text,uniir_image,109,237,433,779,503,-167,0.3670520231213873
results_rrf_clip_text_flickr_faiss_uniir_image_flickr_faiss,R5,clip_text,uniir_image,45,199,702,946,798,-103,0.4754098360655737
results_rrf_clip_text_flickr_faiss_uniir_image_flickr_faiss,R10,clip_text,uniir_image,28,148,788,964,893,-43,0.5795454545454546
results_rrf_clip_text_flickr_faiss_uniir_joint-image-text_flickr_faiss,R1,clip_text,uniir_joint-image-text,22,212,520,754,574,-158,0.4786324786324786
results_rrf_clip_text_flickr_faiss_uniir_joint-image-text_flickr_faiss,R5,clip_text,uniir_joint-image-text,11,153,736,900,882,-7,0.8170731707317073
results_rrf_clip_text_flickr_faiss_uniir_joint-image-text_flickr_faiss,R10,clip_text,uniir_joint-image-text,8,121,808,937,937,8,0.875968992248062
results_rrf_flava_image_flickr_faiss_uniir_joint-image-text_flickr_faiss,R1,flava_image,uniir_joint-image-text,66,262,470,798,730,-2,0.75
results_rrf_flava_image_flickr_faiss_uniir_joint-image-text_flickr_faiss,R5,flava_image,uniir_joint-image-text,45,116,773,934,916,27,0.8260869565217391
results_rrf_flava_image_flickr_faiss_uniir_joint-image-text_flickr_faiss,R10,flava_image,uniir_joint-image-text,31,82,847,960,958,29,0.8938053097345132
results_rrf_flava_image_flickr_faiss_uniir_text_flickr_faiss,R1,flava_image,uniir_text,125,210,411,746,611,-10,0.564179104477612
results_rrf_flava_image_flickr_faiss_uniir_text_flickr_faiss,R5,flava_image,uniir_text,89,101,729,919,880,50,0.7421052631578947
results_rrf_flava_image_flickr_faiss_uniir_text_flickr_faiss,R10,flava_image,uniir_text,63,72,815,950,934,47,0.762962962962963
results_rrf_flava_text_flickr_faiss_uniir_image_flickr_faiss,R1,flava_text,uniir_image,115,181,489,785,514,-156,0.3412162162162162
results_rrf_flava_text_flickr_faiss_uniir_image_flickr_faiss,R5,flava_text,uniir_image,47,154,747,948,828,-73,0.5174129353233831
results_rrf_flava_text_flickr_faiss_uniir_image_flickr_faiss,R10,flava_text,uniir_image,34,124,812,970,908,-28,0.5949367088607594
results_rrf_flava_text_flickr_faiss_uniir_joint-image-text_flickr_faiss,R1,flava_text,uniir_joint-image-text,56,184,548,788,615,-117,0.5041666666666667
results_rrf_flava_text_flickr_faiss_uniir_joint-image-text_flickr_faiss,R5,flava_text,uniir_joint-image-text,17,112,777,906,896,7,0.8449612403100775
results_rrf_flava_text_flickr_faiss_uniir_joint-image-text_flickr_faiss,R10,flava_text,uniir_joint-image-text,13,96,833,942,950,21,0.9174311926605504
results_rrf_minilm_text_flickr_faiss_clip_image_flickr_faiss,R1,minilm_text,clip_image,207,124,447,778,597,-57,0.5105740181268882
results_rrf_minilm_text_flickr_faiss_clip_image_flickr_faiss,R5,minilm_text,clip_image,93,95,748,936,886,43,0.7074468085106383
results_rrf_minilm_text_flickr_faiss_clip_image_flickr_faiss,R10,minilm_text,clip_image,66,63,834,963,942,42,0.7596899224806202
results_rrf_minilm_text_flickr_faiss_flava_image_flickr_faiss,R1,minilm_text,flava_image,235,117,419,771,609,-45,0.5710227272727273
results_rrf_minilm_text_flickr_faiss_flava_image_flickr_faiss,R5,minilm_text,flava_image,108,85,733,926,891,50,0.7512953367875648
results_rrf_minilm_text_flickr_faiss_flava_image_flickr_faiss,R10,minilm_text,flava_image,82,60,818,960,944,44,0.8098591549295775
results_rrf_minilm_text_flickr_faiss_uniir_image_flickr_faiss,R1,minilm_text,uniir_image,140,156,514,810,599,-71,0.4459459459459459
results_rrf_minilm_text_flickr_faiss_uniir_image_flickr_faiss,R5,minilm_text,uniir_image,54,114,787,955,885,-16,0.6071428571428571
results_rrf_minilm_text_flickr_faiss_uniir_image_flickr_faiss,R10,minilm_text,uniir_image,38,74,862,974,948,12,0.6964285714285714
results_rrf_minilm_text_flickr_faiss_uniir_joint-image-text_flickr_faiss,R1,minilm_text,uniir_joint-image-text,56,134,598,788,663,-69,0.5210526315789473
results_rrf_minilm_text_flickr_faiss_uniir_joint-image-text_flickr_faiss,R5,minilm_text,uniir_joint-image-text,24,72,817,913,912,23,0.8229166666666666
results_rrf_minilm_text_flickr_faiss_uniir_joint-image-text_flickr_faiss,R10,minilm_text,uniir_joint-image-text,25,54,875,954,957,28,0.8354430379746836
results_rrf_uniir_image_flickr_faiss_uniir_joint-image-text_flickr_faiss,R1,uniir_image,uniir_joint-image-text,63,125,607,795,717,-15,0.5691489361702128
