pipeline,endpoint,model_group,index,file_name,query_count,batch_time_seconds,batch_energy_total_mj,avg_embedding_generation_time,avg_retrieval_time,avg_reranking_time,avg_rrf_fusion_time,avg_total_time,avg_overhead_time,avg_candidate_prep_time,median_embedding_generation_time,median_retrieval_time,median_reranking_time,median_rrf_fusion_time,median_total_time,median_overhead_time,median_candidate_prep_time
ensemble,rrf,clip+flava,hnsw,clip_flava_hnsw_rrf_ensemble_0.json,1000,73.08281547063962,2319959.0,0.020704462111927568,0.032462013656273485,,0.0006657555098645389,0.06896803918108343,0.015135807903017849,,0.02011558460071683,0.03222113521769643,,0.00020518992096185684,0.06802194635383785,0.014813613146543503,
ensemble,rrf,clip+flava,ivfpq,clip_flava_ivfpq_rrf_ensemble_0.json,1000,48.47340686665848,1416538.0,0.019349972806405276,0.008498720783740282,,0.0006563921109773218,0.04372298103384674,0.015217895332723856,,0.01895338762551546,0.008225416066125035,,0.0001541615929454565,0.0428767220582813,0.014512570574879646,
ensemble,rrf,clip+uniir,hnsw,clip_uniir_hnsw_rrf_ensemble_0.json,1000,72.04854378476739,2320477.0,0.018822122349403798,0.03310005760146305,,0.0010104492898099125,0.06800523191178218,0.015072602671105415,,0.01820184919051826,0.03260965063236654,,0.0001964750699698925,0.06673090462572873,0.014661207096651196,
ensemble,rrf,clip+uniir,ivfpq,clip_uniir_ivfpq_rrf_ensemble_0.json,1000,46.88460823893547,1501844.0,0.017278463387861848,0.008940398561768233,,0.0009635795173235238,0.04230445122206584,0.01512200975511223,,0.016852701548486948,0.008524666773155332,,0.00016105198301374912,0.04094534949399531,0.01446421630680561,
ensemble,rrf,uniir+flava,hnsw,uniir_flava_hnsw_rrf_ensemble_0.json,1000,73.87505457131192,2414886.0,0.02170875262422487,0.032602037644945084,,0.0006399536454118789,0.06997432871814817,0.015023584803566336,,0.021131529239937663,0.03208797611296177,,0.00020752591080963612,0.06879866844974458,0.014621441019698977,
ensemble,rrf,uniir+flava,ivfpq,uniir_flava_ivfpq_rrf_ensemble_0.json,1000,48.92320556566119,1500534.0,0.02020867491653189,0.008448912433348596,,0.0005572394919581711,0.04437269916106015,0.015157872319221496,,0.019836864201352,0.008118376834318042,,0.0001535180490463972,0.04369594296440482,0.014403818408027291,
rerank,retrieve_and_rerank_blip2,clip,hnsw,clip_hnsw_rerank_1.json,1000,4637.424094325863,384270016.0,0.0093546382482163,0.0412603552374057,4.552704951485153,,4.611146996932105,0.0078270519613288,0.0174456725521013,0.0087570804171264,0.041304419748485,4.5314558239188045,,4.590273943729699,0.0073444009758532,0.0172664856072515
rerank,retrieve_and_rerank_blip2,clip,ivfpq,clip_ivfpq_rerank_1.json,1000,4438.952755350154,390654116.0,0.0094332212787121,0.0003319690655916,4.387011487601325,,4.405320697140414,0.0085440191947855,0.0174700972759164,0.0087676928378641,0.0003144720103591,4.54014671058394,,4.558833149494603,0.007200671127066,0.0173585393931716
rerank,retrieve_and_rerank_blip2,clip,knn,clip_knn_rerank_1.json,1000,4642.336941903923,392975137.0,0.009570330269169,0.0486652895831503,4.551028112924658,,4.617272634710186,0.0080089019332081,0.0163652243586257,0.0088985029142349,0.0486308210529387,4.524485867936164,,4.590224672807381,0.0074920007027685,0.016024949029088
rerank,retrieve_and_rerank_blip2,flava,hnsw,flava_hnsw_rerank_1.json,1000,4611.574157942087,386471405.0,0.0132215476129204,0.0412050148034468,4.52482264078455,,4.5861583815068006,0.0069091783058829,0.0168573130359873,0.0124698996078222,0.0412991640623658,4.501937596825883,,4.5651631825603545,0.0063322198111563,0.0164361747447401
rerank,retrieve_and_rerank_blip2,flava,ivfpq,flava_ivfpq_rerank_1.json,1000,3166.588361710776,374256564.0,0.0134678798937238,0.0003166711279191,4.559913306083996,,4.585394724157639,0.0066878120950423,0.0119537483518943,0.0125236415769904,0.0002984411548823,4.35691021149978,,4.376456608530134,0.0062011627014726,0.0153063489124178
rerank,retrieve_and_rerank_blip2,flava,knn,flava_knn_rerank_1.json,1000,4615.332332638092,396142382.0,0.0131149473167024,0.0486094635394401,4.522260995683726,,4.5908847377439965,0.0068993312041275,0.0159364743162877,0.012449282919988,0.0485973265022039,4.499575475463644,,4.567163883475587,0.0063239529263228,0.0156768606975674
rerank,retrieve_and_rerank_blip2,uniir,hnsw,uniir_hnsw_rerank_1.json,1000,4658.052044135053,384660485.0,0.0108430832712911,0.0413351170681417,4.573759473633487,,4.63290884469077,0.0069711707178503,0.0165678646024316,0.0102173560298979,0.0413293906021863,4.557825537864119,,4.616028071148321,0.0063858388457447,0.0162812992930412
rerank,retrieve_and_rerank_blip2,uniir,ivfpq,uniir_ivfpq_rerank_1.json,1000,4341.835197631735,353884014.0,0.0108792964499443,0.0003316106558777,4.299008280605078,,4.316988328507636,0.0067691407967358,0.0163316572876647,0.0101482989266514,0.0003174277953803,4.502076222095639,,4.519713734742254,0.0062885649967938,0.0169866313226521
rerank,retrieve_and_rerank_blip2,uniir,knn,uniir_knn_rerank_1.json,1000,4610.827226767782,396076449.0,0.0107742597144097,0.04849219787959,4.519441965794656,,4.585581690337509,0.0068732669488526,0.0166343746297061,0.0101301507093012,0.0485550719313323,4.498974760994315,,4.564630267675966,0.0063360689673572,0.0163602782413363
single,retrieve,clip,hnsw,clip_hnsw_single_0.json,1000,34.48138765618205,957437.0,0.008446094773709775,0.015441995506174862,,,0.031083830867893993,0.007195740588009357,,0.00833058962598443,0.015881192171946168,,,0.031231345841661096,0.006751810200512409,
single,retrieve,clip,ivfpq,clip_ivfpq_single_0.json,1000,24.831208034884185,596404.0,0.008689868176355958,0.004618675393052399,,,0.020572080900426955,0.007263537331018597,,0.00839413795620203,0.004524605348706245,,,0.020167667185887694,0.006783368531614542,
single,retrieve,clip,knn,clip_knn_single_1.json,1000,70.9997794427909,7089784.0,0.0089166993731632,0.0425293504390865,,,0.0667103034318424,0.0152642536195926,,0.0083158903289586,0.0425020691473037,,,0.057123479899019,0.0063119565602391,
single,retrieve,flava,hnsw,flava_hnsw_single_0.json,1000,39.73726826533675,1186926.0,0.012574939831160009,0.015774906590115278,,,0.035723564888816325,0.007373718467541039,,0.012190306093543768,0.015798058360815048,,,0.03561600251123309,0.006860188907012343,
single,retrieve,flava,ivfpq,flava_ivfpq_single_0.json,1000,28.26373222330585,780475.0,0.012383659631479532,0.004180747945792973,,,0.023861520909704267,0.007297113332431764,,0.011552826967090368,0.0040050107054412365,,,0.022900099866092205,0.006765653612092137,
single,retrieve,flava,knn,flava_knn_single_1.json,1000,80.2506433497183,7583075.0,0.0122171090445481,0.0425323103857226,,,0.0759792817989364,0.0212298623686656,,0.0116348441224545,0.0425313629675656,,,0.0612755918409675,0.0066833267919719,
single,retrieve,uniir,hnsw,uniir_hnsw_single_0.json,1000,37.846500218845904,1089383.0,0.010611173872370273,0.015659553273115308,,,0.03376429229602217,0.007493565150536597,,0.010152942035347223,0.015263332752510905,,,0.03334483620710671,0.006951742572709918,
single,retrieve,uniir,ivfpq,uniir_ivfpq_single_0.json,1000,25.72100653219968,710766.0,0.009820059143006802,0.004504303642082959,,,0.021704469881951807,0.007380107096862048,,0.009505840484052896,0.004333900520578027,,,0.021161617944017053,0.00684286467730999,
single,retrieve,uniir,knn,uniir_knn_single_1.json,1000,78.79663825500757,7450633.0,0.0102536634835414,0.0425214691446162,,,0.0743990768119692,0.0216239441838115,,0.0096096999477595,0.0425258625764399,,,0.0591460824944078,0.0066225118935108,
ensemble,rrf,openclip+clip,hnsw,openclip_clip_hnsw_rrf_ensemble_0.json,1000,69.01626162603498,2168613.0,0.0188831930141896,0.0302110044900327,,0.0006410038769245,0.0648149441517889,0.015079742770642,,0.0182393048889935,0.0298421578481793,,0.0002390565350651,0.0643343236297369,0.0147223942913115,
ensemble,rrf,openclip+clip,ivfpq,openclip_clip_ivfpq_rrf_ensemble_0.json,1000,46.99609056767076,1464511.0,0.0177056381888687,0.0086974216941744,,0.0006154435463249,0.0422725295322015,0.0152540261028334,,0.0175283695571124,0.0083574960008263,,0.0001631495542824,0.0411672950722277,0.014335177373141,
ensemble,rrf,openclip+flava,hnsw,openclip_flava_hnsw_rrf_ensemble_0.json,1000,70.22906734701246,2223545.0,0.02182465278171,0.0286580862971022,,0.0006774264331907,0.0662404049253091,0.0150802394133061,,0.0213427017442882,0.0282207559794187,,0.0002371980808675,0.065793318208307,0.014717448502779,
ensemble,rrf,openclip+flava,ivfpq,openclip_flava_ivfpq_rrf_ensemble_0.json,1000,50.69170567393303,1617126.0,0.0216353963473811,0.0086368593247607,,0.000647367151454,0.0457140539987012,0.0147944311751052,,0.0215272530913352,0.0082905087620019,,0.0001863902434706,0.045050318352878,0.0141393109224736,
