dataset,model_label,k,recall
coco,$CLIP_{\mathrm{Image}}$,1,37.66
coco,$CLIP_{\mathrm{Image}}$,2,48.120000000000005
coco,$CLIP_{\mathrm{Image}}$,3,54.559999999999995
coco,$CLIP_{\mathrm{Image}}$,4,59.160000000000004
coco,$CLIP_{\mathrm{Image}}$,5,62.38
coco,$CLIP_{\mathrm{Image}}$,6,65.14
coco,$CLIP_{\mathrm{Image}}$,7,67.14
coco,$CLIP_{\mathrm{Image}}$,8,69.3
coco,$CLIP_{\mathrm{Image}}$,9,70.84
coco,$CLIP_{\mathrm{Image}}$,10,72.38
coco,$CLIP_{\mathrm{Image}}$,11,73.74000000000001
coco,$CLIP_{\mathrm{Image}}$,12,74.9
coco,$CLIP_{\mathrm{Image}}$,13,75.82
coco,$CLIP_{\mathrm{Image}}$,14,76.68
coco,$CLIP_{\mathrm{Image}}$,15,77.62
coco,$CLIP_{\mathrm{Image}}$,16,78.52
coco,$CLIP_{\mathrm{Image}}$,17,79.24
coco,$CLIP_{\mathrm{Image}}$,18,79.88
coco,$CLIP_{\mathrm{Image}}$,19,80.62
coco,$CLIP_{\mathrm{Image}}$,20,81.22
coco,$CLIP_{\mathrm{Image}}$,21,82.04
coco,$CLIP_{\mathrm{Image}}$,22,82.46
coco,$CLIP_{\mathrm{Image}}$,23,82.94
coco,$CLIP_{\mathrm{Image}}$,24,83.39999999999999
coco,$CLIP_{\mathrm{Image}}$,25,83.88
coco,$CLIP_{\mathrm{Image}}$,26,84.42
coco,$CLIP_{\mathrm{Image}}$,27,84.76
coco,$CLIP_{\mathrm{Image}}$,28,85.2
coco,$CLIP_{\mathrm{Image}}$,29,85.61999999999999
coco,$CLIP_{\mathrm{Image}}$,30,85.98
coco,$CLIP_{\mathrm{Image}}$,31,86.26
coco,$CLIP_{\mathrm{Image}}$,32,86.5
coco,$CLIP_{\mathrm{Image}}$,33,86.94
coco,$CLIP_{\mathrm{Image}}$,34,87.26
coco,$CLIP_{\mathrm{Image}}$,35,87.74
coco,$CLIP_{\mathrm{Image}}$,36,88.08
coco,$CLIP_{\mathrm{Image}}$,37,88.34
coco,$CLIP_{\mathrm{Image}}$,38,88.62
coco,$CLIP_{\mathrm{Image}}$,39,88.98
coco,$CLIP_{\mathrm{Image}}$,40,89.34
coco,$CLIP_{\mathrm{Image}}$,41,89.64
coco,$CLIP_{\mathrm{Image}}$,42,90.02
coco,$CLIP_{\mathrm{Image}}$,43,90.24
coco,$CLIP_{\mathrm{Image}}$,44,90.52
coco,$CLIP_{\mathrm{Image}}$,45,90.7
coco,$CLIP_{\mathrm{Image}}$,46,90.88000000000001
coco,$CLIP_{\mathrm{Image}}$,47,91.12
coco,$CLIP_{\mathrm{Image}}$,48,91.32000000000001
coco,$CLIP_{\mathrm{Image}}$,49,91.52
coco,$CLIP_{\mathrm{Image}}$,50,91.8
coco,$CLIP_{\mathrm{Image}}$,51,92.08
coco,$CLIP_{\mathrm{Image}}$,52,92.28
coco,$CLIP_{\mathrm{Image}}$,53,92.5
coco,$CLIP_{\mathrm{Image}}$,54,92.74
coco,$CLIP_{\mathrm{Image}}$,55,92.92
coco,$CLIP_{\mathrm{Image}}$,56,93.08
coco,$CLIP_{\mathrm{Image}}$,57,93.26
coco,$CLIP_{\mathrm{Image}}$,58,93.47999999999999
coco,$CLIP_{\mathrm{Image}}$,59,93.56
coco,$CLIP_{\mathrm{Image}}$,60,93.66
coco,$CLIP_{\mathrm{Image}}$,61,93.76
coco,$CLIP_{\mathrm{Image}}$,62,93.88
coco,$CLIP_{\mathrm{Image}}$,63,93.92
coco,$CLIP_{\mathrm{Image}}$,64,94.06
coco,$CLIP_{\mathrm{Image}}$,65,94.17999999999999
coco,$CLIP_{\mathrm{Image}}$,66,94.26
coco,$CLIP_{\mathrm{Image}}$,67,94.44
coco,$CLIP_{\mathrm{Image}}$,68,94.64
coco,$CLIP_{\mathrm{Image}}$,69,94.74000000000001
coco,$CLIP_{\mathrm{Image}}$,70,94.92
coco,$CLIP_{\mathrm{Image}}$,71,94.98
coco,$CLIP_{\mathrm{Image}}$,72,95.08
coco,$CLIP_{\mathrm{Image}}$,73,95.16
coco,$CLIP_{\mathrm{Image}}$,74,95.24000000000001
coco,$CLIP_{\mathrm{Image}}$,75,95.38
coco,$CLIP_{\mathrm{Image}}$,76,95.48
coco,$CLIP_{\mathrm{Image}}$,77,95.67999999999999
coco,$CLIP_{\mathrm{Image}}$,78,95.67999999999999
coco,$CLIP_{\mathrm{Image}}$,79,95.76
coco,$CLIP_{\mathrm{Image}}$,80,95.82000000000001
coco,$CLIP_{\mathrm{Image}}$,81,95.92
coco,$CLIP_{\mathrm{Image}}$,82,96.02000000000001
coco,$CLIP_{\mathrm{Image}}$,83,96.14
coco,$CLIP_{\mathrm{Image}}$,84,96.17999999999999
coco,$CLIP_{\mathrm{Image}}$,85,96.24000000000001
coco,$CLIP_{\mathrm{Image}}$,86,96.3
coco,$CLIP_{\mathrm{Image}}$,87,96.36
coco,$CLIP_{\mathrm{Image}}$,88,96.39999999999999
coco,$CLIP_{\mathrm{Image}}$,89,96.46000000000001
coco,$CLIP_{\mathrm{Image}}$,90,96.52
coco,$CLIP_{\mathrm{Image}}$,91,96.6
coco,$CLIP_{\mathrm{Image}}$,92,96.67999999999999
coco,$CLIP_{\mathrm{Image}}$,93,96.72
coco,$CLIP_{\mathrm{Image}}$,94,96.78
coco,$CLIP_{\mathrm{Image}}$,95,96.88
coco,$CLIP_{\mathrm{Image}}$,96,96.96000000000001
coco,$CLIP_{\mathrm{Image}}$,97,97.0
coco,$CLIP_{\mathrm{Image}}$,98,97.02
coco,$CLIP_{\mathrm{Image}}$,99,97.06
coco,$CLIP_{\mathrm{Image}}$,100,97.14
coco,$CLIP_{\mathrm{Text}}$,1,38.879999999999995
coco,$CLIP_{\mathrm{Text}}$,2,48.08
coco,$CLIP_{\mathrm{Text}}$,3,52.92
coco,$CLIP_{\mathrm{Text}}$,4,56.42
coco,$CLIP_{\mathrm{Text}}$,5,59.74
coco,$CLIP_{\mathrm{Text}}$,6,62.44
coco,$CLIP_{\mathrm{Text}}$,7,64.22
coco,$CLIP_{\mathrm{Text}}$,8,66.03999999999999
coco,$CLIP_{\mathrm{Text}}$,9,67.86
coco,$CLIP_{\mathrm{Text}}$,10,69.17999999999999
coco,$CLIP_{\mathrm{Text}}$,11,70.28
coco,$CLIP_{\mathrm{Text}}$,12,71.34
coco,$CLIP_{\mathrm{Text}}$,13,72.26
coco,$CLIP_{\mathrm{Text}}$,14,73.32
coco,$CLIP_{\mathrm{Text}}$,15,74.18
coco,$CLIP_{\mathrm{Text}}$,16,75.08
coco,$CLIP_{\mathrm{Text}}$,17,75.84
coco,$CLIP_{\mathrm{Text}}$,18,76.44
coco,$CLIP_{\mathrm{Text}}$,19,77.10000000000001
coco,$CLIP_{\mathrm{Text}}$,20,77.68
coco,$CLIP_{\mathrm{Text}}$,21,78.12
coco,$CLIP_{\mathrm{Text}}$,22,78.68
coco,$CLIP_{\mathrm{Text}}$,23,79.34
coco,$CLIP_{\mathrm{Text}}$,24,79.84
coco,$CLIP_{\mathrm{Text}}$,25,80.30000000000001
coco,$CLIP_{\mathrm{Text}}$,26,80.84
coco,$CLIP_{\mathrm{Text}}$,27,81.3
coco,$CLIP_{\mathrm{Text}}$,28,81.74
coco,$CLIP_{\mathrm{Text}}$,29,82.16
coco,$CLIP_{\mathrm{Text}}$,30,82.44
coco,$CLIP_{\mathrm{Text}}$,31,82.78
coco,$CLIP_{\mathrm{Text}}$,32,83.12
coco,$CLIP_{\mathrm{Text}}$,33,83.56
coco,$CLIP_{\mathrm{Text}}$,34,83.94
coco,$CLIP_{\mathrm{Text}}$,35,84.22
coco,$CLIP_{\mathrm{Text}}$,36,84.46000000000001
coco,$CLIP_{\mathrm{Text}}$,37,85.04
coco,$CLIP_{\mathrm{Text}}$,38,85.39999999999999
coco,$CLIP_{\mathrm{Text}}$,39,85.68
coco,$CLIP_{\mathrm{Text}}$,40,85.92
coco,$CLIP_{\mathrm{Text}}$,41,86.22
coco,$CLIP_{\mathrm{Text}}$,42,86.4
coco,$CLIP_{\mathrm{Text}}$,43,86.72
coco,$CLIP_{\mathrm{Text}}$,44,86.86
coco,$CLIP_{\mathrm{Text}}$,45,86.94
coco,$CLIP_{\mathrm{Text}}$,46,87.1
coco,$CLIP_{\mathrm{Text}}$,47,87.44
coco,$CLIP_{\mathrm{Text}}$,48,87.62
coco,$CLIP_{\mathrm{Text}}$,49,87.9
coco,$CLIP_{\mathrm{Text}}$,50,88.03999999999999
coco,$CLIP_{\mathrm{Text}}$,51,88.28
coco,$CLIP_{\mathrm{Text}}$,52,88.48
coco,$CLIP_{\mathrm{Text}}$,53,88.68
coco,$CLIP_{\mathrm{Text}}$,54,88.88000000000001
coco,$CLIP_{\mathrm{Text}}$,55,89.0
coco,$CLIP_{\mathrm{Text}}$,56,89.1
coco,$CLIP_{\mathrm{Text}}$,57,89.3
coco,$CLIP_{\mathrm{Text}}$,58,89.44
coco,$CLIP_{\mathrm{Text}}$,59,89.53999999999999
coco,$CLIP_{\mathrm{Text}}$,60,89.7
coco,$CLIP_{\mathrm{Text}}$,61,89.86
coco,$CLIP_{\mathrm{Text}}$,62,89.88000000000001
coco,$CLIP_{\mathrm{Text}}$,63,90.0
coco,$CLIP_{\mathrm{Text}}$,64,90.10000000000001
coco,$CLIP_{\mathrm{Text}}$,65,90.25999999999999
coco,$CLIP_{\mathrm{Text}}$,66,90.34
coco,$CLIP_{\mathrm{Text}}$,67,90.48
coco,$CLIP_{\mathrm{Text}}$,68,90.58
coco,$CLIP_{\mathrm{Text}}$,69,90.7
coco,$CLIP_{\mathrm{Text}}$,70,90.82000000000001
coco,$CLIP_{\mathrm{Text}}$,71,90.88000000000001
coco,$CLIP_{\mathrm{Text}}$,72,90.94
coco,$CLIP_{\mathrm{Text}}$,73,91.06
coco,$CLIP_{\mathrm{Text}}$,74,91.24
coco,$CLIP_{\mathrm{Text}}$,75,91.34
coco,$CLIP_{\mathrm{Text}}$,76,91.4
coco,$CLIP_{\mathrm{Text}}$,77,91.52
coco,$CLIP_{\mathrm{Text}}$,78,91.60000000000001
coco,$CLIP_{\mathrm{Text}}$,79,91.78
coco,$CLIP_{\mathrm{Text}}$,80,91.84
coco,$CLIP_{\mathrm{Text}}$,81,91.86
coco,$CLIP_{\mathrm{Text}}$,82,91.97999999999999
coco,$CLIP_{\mathrm{Text}}$,83,92.08
coco,$CLIP_{\mathrm{Text}}$,84,92.22
coco,$CLIP_{\mathrm{Text}}$,85,92.34
coco,$CLIP_{\mathrm{Text}}$,86,92.47999999999999
coco,$CLIP_{\mathrm{Text}}$,87,92.56
coco,$CLIP_{\mathrm{Text}}$,88,92.66
coco,$CLIP_{\mathrm{Text}}$,89,92.7
